年份,省份,院校名称,专业组代码,专业组名称,专业名称,录取批次,录取人数,选科要求,最高分,最低分,平均分,最低分排位,平均分排位
2024,上海,复旦大学,Z0101,复旦大学(01),中国语言文学类,综合评价录取,10,不限,617,580,601,2684,656
2024,上海,复旦大学,Z0101,复旦大学(01),英语,综合评价录取,12,不限,617,580,590,2684,1553
2024,上海,复旦大学,Z0101,复旦大学(01),历史学类,综合评价录取,20,不限,617,580,592,2684,1376
2024,上海,复旦大学,Z0101,复旦大学(01),哲学类,综合评价录取,15,不限,617,580,594,2684,1175
2024,上海,复旦大学,Z0101,复旦大学(01),新闻传播学类,综合评价录取,25,不限,617,580,594,2684,1175
2024,上海,复旦大学,Z0101,复旦大学(01),社会科学试验班,综合评价录取,25,不限,617,580,591,2684,1453
2024,上海,复旦大学,Z0101,复旦大学(01),法学,综合评价录取,13,不限,617,580,595,2684,1089
2024,上海,复旦大学,Z0101,复旦大学(01),经济学类,综合评价录取,80,不限,617,580,592,2684,1376
2024,上海,复旦大学,Z0101,复旦大学(01),金融学,综合评价录取,5,不限,617,580,610,2684,240
2024,上海,复旦大学,Z0102,复旦大学(02),经济管理试验班,综合评价录取,30,物化,617,580,599,2684,775
2024,上海,复旦大学,Z0102,复旦大学(02),数学类,综合评价录取,24,物化,617,580,609,2684,267
2024,上海,复旦大学,Z0102,复旦大学(02),自然科学试验班,综合评价录取,40,物化,617,580,602,2684,595
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(光子计划院士班),综合评价录取,8,物化,617,580,606,2684,383
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(新工科拔尖班),综合评价录取,21,物化,617,580,609,2684,267
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(智能机器人领军人才班),综合评价录取,7,物化,617,580,603,2684,541
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(新工科计算机班),综合评价录取,20,物化,617,580,604,2684,486
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(新工科电子信息班),综合评价录取,17,物化,617,580,604,2684,486
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(新工科微电子班),综合评价录取,30,物化,617,580,597,2684,913
2024,上海,复旦大学,Z0102,复旦大学(02),工科试验班(新工科大数据班),综合评价录取,16,物化,617,580,601,2684,656
2024,上海,复旦大学,Z0102,复旦大学(02),技术科学试验班,综合评价录取,26,物化,617,580,593,2684,1280
2024,上海,复旦大学,Z0102,复旦大学(02),软件工程,综合评价录取,30,物化,617,580,594,2684,1175
2024,上海,复旦大学,Z0103,复旦大学(03),数学类,综合评价录取,28,物化,616,536,588,10760,1750
2024,上海,复旦大学医学院,Z3201,复旦医学(01),"临床医学(八年制,卓越医生计划)",综合评价录取,47,物化,613,580,598,2684,834
2024,上海,复旦大学医学院,Z3201,复旦医学(01),"临床医学(五年制,卓越医生计划)",综合评价录取,33,物化,613,580,588,2684,1750
2024,上海,复旦大学医学院,Z3201,复旦医学(01),口腔医学,综合评价录取,6,物化,613,580,587,2684,1860
2024,上海,复旦大学医学院,Z3201,复旦医学(01),预防医学,综合评价录取,0,物化,613,580,580,2684,2684
2024,上海,复旦大学医学院,Z3201,复旦医学(01),药学,综合评价录取,4,物化,613,580,591,2684,1453
2024,上海,上海交通大学,Z0201,上海交大(01),工智能(拔尖英才试点班),综合评价录取,7,物化,618,580,614,2684,128
2024,上海,上海交通大学,Z0201,上海交大(01),人工智能(卓越人才试点班),综合评价录取,8,物化,618,580,610,2684,240
2024,上海,上海交通大学,Z0201,上海交大(01),电子信息类(IEEE试点班),综合评价录取,20,物化,618,580,609,2684,267
2024,上海,上海交通大学,Z0201,上海交大(01),机械类(钱学森工程科学试点班),综合评价录取,10,物化,618,580,604,2684,486
2024,上海,上海交通大学,Z0201,上海交大(01),工科试验班类(信息类),综合评价录取,109,物化,618,580,604,2684,486
2024,上海,上海交通大学,Z0201,上海交大(01),工科试验班类(机电类),综合评价录取,131,物化,618,580,595,2684,1089
2024,上海,上海交通大学,Z0201,上海交大(01),工科试验班类(澳洲未来技术学院),综合评价录取,7,物化,618,580,593,2684,1280
2024,上海,上海交通大学,Z0201,上海交大(01),金融学,综合评价录取,12,物化,618,580,607,2684,334
2024,上海,上海交通大学,Z0201,上海交大(01),经济管理试验班,综合评价录取,34,物化,618,580,595,2684,1089
2024,上海,上海交通大学,Z0201,上海交大(01),理科试验班类,综合评价录取,24,物化,618,580,602,2684,595
2024,上海,上海交通大学,Z0201,上海交大(01),生物科学类,综合评价录取,8,物化,618,580,603,2684,541
2024,上海,上海交通大学,Z0201,上海交大(01),工业设计,综合评价录取,4,物化,618,580,595,2684,1089
2024,上海,上海交通大学,Z0201,上海交大(01),电子信息类(中外合作办学)(交大密西根学院),综合评价录取,147,物化,618,580,595,2684,1089
2024,上海,上海交通大学,Z0201,上海交大(01),电子信息类(中外合作办学)(巴黎卓越工程师学院),综合评价录取,9,物化,618,580,594,2684,1175
2024,上海,上海交通大学,Z0202,上海交大(02),法学试验班,综合评价录取,12,不限,612,580,591,2684,1453
2024,上海,上海交通大学,Z0202,上海交大(02),法学试验班(涉外法治特班),综合评价录取,8,不限,612,580,599,2684,775
2024,上海,上海交通大学,Z0202,上海交大(02),英语,综合评价录取,18,不限,612,580,586,2684,1980
2024,上海,上海交通大学,Z0202,上海交大(02),人文科学试验班[汉语言文学(中外文化交流)专业],综合评价录取,14,不限,612,580,585,2684,2089
2024,上海,上海交通大学,Z0202,上海交大(02),人文科学试验班(行政管理专业),综合评价录取,14,不限,612,580,584,2684,2194
2024,上海,上海交通大学,Z0202,上海交大(02),人文科学试验班(传播学专业),综合评价录取,4,不限,612,580,585,2684,2089
2024,上海,上海交通大学,Z0202,上海交大(02),人文科学试验班(文化产业管理专业),综合评价录取,3,不限,612,580,582,2684,2424
2024,上海,上海交通大学,Z0202,上海交大(02),人文科学试验班(广播电视编导专业),综合评价录取,3,不限,612,580,585,2684,2089
2024,上海,上海交通大学医学院,Z2001,交大医学(01),临床医学(八年制本博连读方向),综合评价录取,46,物化,612,580,597,2684,913
2024,上海,上海交通大学医学院,Z2001,交大医学(01),临床医学(八年制本博连读法语班),综合评价录取,18,物化,612,580,604,2684,486
2024,上海,上海交通大学医学院,Z2001,交大医学(01),临床医学(八年制本博连读口腔方向),综合评价录取,10,物化,612,580,601,2684,656
2024,上海,上海交通大学医学院,Z2001,交大医学(01),口腔医学(5+3一体化),综合评价录取,7,物化,612,580,596,2684,996
2024,上海,上海交通大学医学院,Z2001,交大医学(01),医学试验班(临床医学),综合评价录取,6,物化,612,580,590,2684,1553
2024,上海,上海交通大学医学院,Z2001,交大医学(01),医学试验班(儿科学5+3一体化),综合评价录取,1,物化,612,580,593,2684,1280
2024,上海,上海交通大学医学院,Z2001,交大医学(01),医学试验班[临床医学(眼视光医学)],综合评价录取,1,物化,612,580,592,2684,1376
2024,上海,同济大学,Z0301,同济大学(01),经济管理试验班,综合评价录取,11,物化,587,579,582,2831,2424
2024,上海,同济大学,Z0301,同济大学(01),工科试验班(城市、建筑与创意设计类),综合评价录取,11,物化,587,579,581,2831,2552
2024,上海,同济大学,Z0301,同济大学(01),工科试验班(智能建造与低碳环境类),综合评价录取,10,物化,587,579,580,2831,2684
2024,上海,同济大学,Z0301,同济大学(01),工科试验班(智能化造与新能源类),综合评价录取,31,物化,587,579,582,2831,2424
2024,上海,同济大学,Z0301,同济大学(01),工科试验班(信息与智能网联类),综合评价录取,52,物化,587,579,582,2831,2424
2024,上海,同济大学,Z0301,同济大学(01),理科试验班,综合评价录取,29,物化,587,579,581,2831,2552
2024,上海,同济大学,Z0302,同济大学(02),机械类(中外合作办学),综合评价录取,11,物化,579,578,578,2962,2962
2024,上海,同济大学,Z0303,同济大学(03),临床医学(5+3一体化),综合评价录取,11,物化,585,580,582,2831,2424
2024,上海,同济大学,Z0303,同济大学(03),医学试验班(医学院),综合评价录取,3,物化,585,580,580,2831,2684
2024,上海,同济大学,Z0303,同济大学(03),医学试验班(口腔医学院),综合评价录取,3,物化,585,580,584,2831,2194
2024,上海,同济大学,Z0303,同济大学(03),医学试验班(生命学院),综合评价录取,3,物化,585,580,581,2831,2552
2024,上海,同济大学,Z0304,同济大学(04),人文科学试验班,综合评价录取,49,不限,582,574,576,3531,3250
2024,上海,同济大学,Z0304,同济大学(04),法学,综合评价录取,5,不限,582,575,577,3392,3098
2024,上海,同济大学,Z0304,同济大学(04),物流管理,综合评价录取,3,不限,582,575,577,3392,3098
2024,上海,同济大学,Z0304,同济大学(04),会计学,综合评价录取,3,不限,582,575,577,3392,3098
2024,上海,同济大学,Z0305,同济大学(05),政治学与行政学,综合评价录取,5,政,581,574,577,3531,3098
2024,上海,华东师范大学,Z0401,华东师大(01),汉语言文学,综合评价录取,4,不限,583,576,581,3250,2552
2024,上海,华东师范大学,Z0401,华东师大(01),汉语国际教育,综合评价录取,4,不限,583,576,578,2831,2962
2024,上海,华东师范大学,Z0401,华东师大(01),翻译(与历史学专业双学士学位),综合评价录取,4,不限,583,577,579,3098,2831
2024,上海,华东师范大学,Z0401,华东师大(01),新闻传播学类,综合评价录取,5,不限,583,578,580,2962,2684
2024,上海,华东师范大学,Z0401,华东师大(01),历史学,综合评价录取,4,不限,583,578,580,2962,2684
2024,上海,华东师范大学,Z0401,华东师大(01),哲学,综合评价录取,4,不限,583,576,580,2962,2684
2024,上海,华东师范大学,Z0402,华东师大(02),金融学类,综合评价录取,4,不限,578,575,577,3392,3098
2024,上海,华东师范大学,Z0402,华东师大(02),工商管理类,综合评价录取,6,不限,578,572,572,3846,3846
2024,上海,华东师范大学,Z0402,华东师大(02),工商管理(智能商业实验班),综合评价录取,4,不限,578,572,574,3846,3531
2024,上海,华东师范大学,Z0402,华东师大(02),公共管理类,综合评价录取,6,不限,578,571,571,3998,3998
2024,上海,华东师范大学,Z0402,华东师大(02),法学,综合评价录取,3,不限,578,575,575,3392,3392
2024,上海,华东师范大学,Z0402,华东师大(02),社会学类,综合评价录取,6,不限,578,573,573,3676,3676
2024,上海,华东师范大学,Z0402,华东师大(02),教育学类,综合评价录取,2,不限,578,572,572,3846,3846
2024,上海,华东师范大学,Z0403,华东师大(03),数学与应用数学,综合评价录取,7,物化,588,577,581,3098,2552
2024,上海,华东师范大学,Z0403,华东师大(03),统计学类,综合评价录取,9,物化,588,577,579,3098,2831
2024,上海,华东师范大学,Z0403,华东师大(03),物理学,综合评价录取,2,物化,588,577,578,2962,2962
2024,上海,华东师范大学,Z0403,华东师大(03),电子信息科学与技术,综合评价录取,4,物化,588,577,578,2962,2962
2024,上海,华东师范大学,Z0403,华东师大(03),通信工程,综合评价录取,2,物化,588,577,577,2962,3098
2024,上海,华东师范大学,Z0403,华东师大(03),微电子科学与工程,综合评价录取,6,物化,588,577,578,2962,2962
2024,上海,华东师范大学,Z0403,华东师大(03),计算机科学与技术,综合评价录取,10,物化,588,577,581,2831,2552
2024,上海,华东师范大学,Z0403,华东师大(03),软件工程,综合评价录取,5,物化,588,577,580,2831,2684
2024,上海,华东师范大学,Z0403,华东师大(03),数据科学与大数据技术,综合评价录取,5,物化,588,577,580,2684,2684
2024,上海,华东师范大学,Z0404,华东师大(04),心理学类,综合评价录取,5,物化,581,572,575,3846,3392
2024,上海,华东师范大学,Z0404,华东师大(04),化学,综合评价录取,5,物化,581,572,575,3846,3392
2024,上海,华东师范大学,Z0404,华东师大(04),生物科学类,综合评价录取,3,物化,581,572,575,3846,3392
2024,上海,华东师范大学,Z0404,华东师大(04),地理信息科学,综合评价录取,3,物化,581,572,574,3846,3531
2024,上海,华东师范大学,Z0404,华东师大(04),环境科学与工程类,综合评价录取,4,物化,581,573,573,3676,3676
